LINK_ID,time,speed
2340231100.0,845,24.985714285714288
2340231100.0,855,25.0875
2340231100.0,900,25.78333333333333
2340231100.0,905,25.5875
2340231100.0,915,26.099999999999998
2340231100.0,925,26.614285714285717
2340231100.0,935,24.5
2340231100.0,945,25.714285714285715
2340231100.0,955,25.0
2340231200.0,600,23.5625
2340231200.0,605,21.0
2340231200.0,615,23.0
2340231200.0,625,22.6875
2340231200.0,635,22.9125
2340231200.0,645,26.9375
2340231200.0,655,24.1875
2340231200.0,700,24.625
2340231200.0,705,24.0
2340231200.0,715,20.5
2340231200.0,725,17.875
2340231200.0,735,17.5875
2340231200.0,745,18.25
2340231200.0,755,14.25
2340231200.0,800,16.571428571428573
2340231200.0,805,16.375
2340231200.0,815,16.875
2340231200.0,825,20.142857142857142
2340231200.0,835,21.571428571428573
2340231200.0,845,18.625
2340231200.0,855,18.625
2340231200.0,900,24.0
2340231200.0,905,23.3125
2340231200.0,915,20.125
2340231200.0,925,23.5
2340231200.0,935,20.75
2340231200.0,945,21.875
2340231200.0,955,24.125
2340231300.0,600,35.275
2340231300.0,605,34.25
2340231300.0,615,31.0625
2340231300.0,625,30.375
2340231300.0,635,30.5
2340231300.0,645,25.625
2340231300.0,655,20.875
2340231300.0,700,20.125
2340231300.0,705,22.0
2340231300.0,715,21.75
2340231300.0,725,18.25
2340231300.0,735,16.75
2340231300.0,745,17.0
2340231300.0,755,16.375
2340231300.0,800,18.0
2340231300.0,805,16.875
2340231300.0,815,18.25
2340231300.0,825,19.571428571428573
2340231300.0,835,23.428571428571427
2340231300.0,845,21.5
2340231300.0,855,27.0
2340231300.0,900,23.875
2340231300.0,905,26.875
2340231300.0,915,25.5
2340231300.0,925,30.0
2340231300.0,935,27.4375
2340231300.0,945,30.625
2340231300.0,955,34.3125
2340231400.0,600,24.5
2340231400.0,605,24.5
2340231400.0,615,20.6
2340231400.0,625,21.75
2340231400.0,635,21.75
2340231400.0,645,19.75
2340231400.0,655,22.2
2340231400.0,700,22.2
2340231400.0,705,19.666666666666668
2340231400.0,715,22.25
2340231400.0,725,22.25
2340231400.0,735,24.25
2340231400.0,745,24.25
2340231400.0,755,24.25
2340231400.0,800,24.25
2340231400.0,805,22.0
2340231400.0,815,22.285714285714285
2340231400.0,825,16.25
2340231400.0,835,13.6
2340231400.0,845,17.2
2340231400.0,855,15.333333333333334
2340231400.0,900,15.333333333333334
2340231400.0,905,18.0
2340231400.0,915,16.8
2340231400.0,925,19.2
2340231400.0,935,30.666666666666668
2340231400.0,945,31.25
2340231400.0,955,31.333333333333332
2340568200.0,600,7.25
2340568200.0,605,7.25
2340568200.0,615,7.25
2340568200.0,625,7.25
2340568200.0,635,7.25
2340568200.0,645,7.25
2340568200.0,655,7.25
2340568200.0,700,7.25
2340568200.0,705,7.25
2340568200.0,715,7.25
2340568200.0,725,7.25
2340568200.0,735,7.25
2340568200.0,745,7.25
2340568200.0,755,7.25
2340568200.0,800,7.25
2340568200.0,805,7.25
2340568200.0,815,7.25
2340568200.0,825,7.25
2340568200.0,835,7.25
2340568200.0,845,9.0
2340568200.0,855,7.25
2340568200.0,900,7.25
2340568200.0,905,7.25
2340568200.0,915,7.25
2340568200.0,925,7.25
2340568200.0,935,7.25
2340568200.0,945,7.25
2340568200.0,955,7.25
2340568300.0,600,7.0
2340568300.0,605,7.0
2340568300.0,615,7.0
2340568300.0,625,7.0
2340568300.0,635,7.0
2340568300.0,645,7.0
2340568300.0,655,7.0
2340568300.0,700,7.0
2340568300.0,705,7.0
2340568300.0,715,7.0
2340568300.0,725,7.0
2340568300.0,735,7.0
2340568300.0,745,7.0
2340568300.0,755,7.0
2340568300.0,800,7.0
2340568300.0,805,7.0
2340568300.0,815,7.0
2340568300.0,825,7.0
2340568300.0,835,7.0
2340568300.0,845,7.0
2340568300.0,855,7.0
2340568300.0,900,7.0
2340568300.0,905,7.0
2340568300.0,915,7.0
2340568300.0,925,7.0
2340568300.0,935,7.0
2340568300.0,945,7.0
